,month,day,year,char_unknow,time_hour,time_minutes,operator,category_operator,ac_type,category_ac_type,country,route,aboard_people,fatalities_total,ground_deads,summary
4641,July,17,1996,not c,20,31,Trans World Airlines,Air,Boeing B-747-131,Douglas,United States,New York City - Paris,230 ,230 ,0,"While on a flight from New York to Paris, France, the aircraft exploded at  FL 130, broke up and crashed into the Atlantic Ocean off Long Island, N.Y. The NTSB determined that the probable cause of the accident was an explosion of the center wing fuel tank resulting from ignition of the flammable fuel/air mixture in the tank. The source of ignition energy for the explosion could not be determined with certainty but, of the sources evaluated by the investigation, the most likely was a short circuit outside of the center wing tank that allowed excessive voltage to enter it through electrical wiring associated with the fuel quantity indication system.  To say that numerous government agencies acted strangely and suspiciously would be an understatement.  A great deal of evidence was either suppressed or ignored. Rumors persist that the plane was brought down by a missile, either by the Navy conducting exercises in the area or by terrorists."
4642,July,17,1996,not c,16,35,Aerolatino (Aerocaribe),No category,de Havilland Canada DHC-6 Twin Otter 300,No category,Mexico,Holvox Island - Playa del Carmen,18 ,1 ,0,Crashed 150 ft. short of the runway.
4643,July,20,1996,not c,15,15,Northern Air Cargo,Air,Douglas DC-6A,No category,United States,Emmonak - Aniak,4 ,4 ,0,"Soon after takeoff, the No. 3 engine caught fire in the cargo plane. The pilot tried to return to the airport for an emergency landing but the right wing seperated and the plane crashed. Fatigue failure of the master connecting rod, which originated from corrosion pitting, subsequently compromised the engine crankcase, and resulted in a fire; and failure of the flight crew to follow emergency procedures by pulling the fire handle before feathering the propeller, which diminished the effectiveness of the fire suppression system."
4644,July,24,1996,not c,Unknown,Unknown,Myanmar Airways,Air,Fokker F-27 Friendship 600,No category,Manmar,Rangoon - Mergui,49 ,8 ,0,"A straight-in visual approach to Mergui was being attempted when the aircraft entered a squall line of heavy rain. The aircraft then started to lose height quickly, undershot the runway by 800ft. And crashed into a ravine."
4645,August,12,1996,not c,13,47,First Air,Air,de Havilland Canada DHC-6 Twin Otter 300,No category,Canada,Iqaluit - Markham Bay,2 ,2 ,0,"After touching down, the cargo plane bounced twice and continued to the end of the runway, became airborne but crashed terrain. For unknown reasons, a decision was made to overshoot even though insufficient runway remained for acceleration, take-off, and climb. Likely contributing directly to the decision to overshoot was the difficulty in controlling the aircraft on touchdown."
4646,August,14,1996,not c,Unknown,Unknown,Air North,Air,Douglas DC-4,No category,Canada,Bronson Creek - Wrangell,3 ,1 ,0,"After taking off the  No. 2 engine of the cargo plane caught on fire. The pilot tried to land the plane in a river bed. The number 2 engine separated from the aircraft as a result of an intense fire in the wing. The loss of the engine rendered the aircraft uncontrollable, and the pilots were forced to land in the river."
4647,August,17,1996,not c,23,48,Military - U.S. Air Force,Military,Lockheed C-130H Hercules,Cessna,United States,"Jackson Hole, WY - New York, NY",9 ,9 ,0,The plane struck a mountain. Failure of the crew to monitor the aircraft's position and flight path relative to high terrain surrounding Jackson Hole Airport.
4648,August,18,1996,not c,19,50,Harbour Air,Air,de Havilland Canada DHC-3 Turbo Otter,No category,Canada2,Tasu - Alliford,3 ,3 ,0,"While en route, flew into the side of a mountain. The pilot probably made a navigational error because of restricted visibility in fog and light drizzle and entered the wrong valley, and he delayed his decision to reverse course until he was unable to avoid the weather."
4649,August,19,1996,not c,03,16,Spair Air Transport,Transport,Ilyushin IL-76T,No category,Yugosalvia,Belgrade - Malta,12 ,12 ,0,"After taking off from Belgrade, the plane experienced electrical problems and returned to the airport. After dumping fuel and circling for 3 hours, the plane crashed into a corn field 800m short of the runway."
4650,August,29,1996,not c,10,22,Vnokovo Airlines,Air,Tupolev TU-154M,No category,Norway,Moscow - Svalbard,141 ,141 ,0,"The aircraft crashed 7 nm short of the runway into Operafjellet Mountain at an altitude of 2,900 ft. while attempting to land in poor weather. The crew did not use the usual approach which includes a turn over the ocean, but rather took a route that led through a narrow valley. Inadequate planning, unsatisfactory crew resource management and monitoring, not discontinuing the approach when procedural uncertainties existed and limited knowledge of the operating language and the actual airspace. The passengers were mainly Russian coal miners headed for a Russian mine on one of the Norwegian islands."
4651,September,13,1996,not c,Unknown,Unknown,Helisul Taxi Aéreo,Taxi,Embraer EMB-110 Bandeirante,No category,Brazil,Porto Alegre - Joinville,2 ,2 ,0,The cargo plane crashed while approaching to land. The crew did not notice an incorrect heading due to an inoperative beacon and crashed into a hill.
4652,September,23,1996,not c,17,00,Air Taxi - Stearns Air Alaska,Taxi,Cessna 206G,No category,United States,Unknown,5 ,3 ,0,"After taking off, the aircraft stopped climbing, struck a pole and crashed and burn. Improper installation of a connecting bolt in the throttle linkage, which resulted in a worn/disconnected throttle arm, partial loss of engine power, and a forced landing after takeoff."
4653,September,25,1996,not c,16,37,Dutch Dakota Association,No category,Douglas DC-3C,No category,Netherlands,Texel - Amsterdam,32 ,32 ,0,"Shortly after takeoff from Texel, a connecting rod bearing in the No.1 engine failed. The prop was feathered.  Soon after, a part of the feathering mechanism failed and the prop started windmilling causing drag. The aircraft rapidly descended and crashed onto a mud-flat. The accident was initiated by a combined failure of the left engine and the left feathering system. The accident became inevitable when the flight crew allowed the speed to decrease below stall speed and lost control of the aircraft at an altitude from which recovery was not possible."
4654,October,02,1996,not c,01,16,Aeroperu,No category,Boeing B-757-200,Douglas,Peru,Lima - Santiago,70 ,70 ,0,"The aircraft crashed into the ocean 28 minutes after taking off from Lima, Peru. Pieces of adhesive tape were found covering the static ports, placed there by personnel during aircraft maintenance and cleaning, causing the malfunction of the airspeed indicators and altimeters. The crew was not able to correctly determine their altitude and airspeed and with no ground reference over water and at night, crashed into the sea. An employee did not remove the adhesive tape from the static ports, nor was it detected by any number of people, including the captain, during the preflight inspection. A maintenance worker was tried and convicted of negligent homicide for failing to remove the adhesive tape and received 2 years in jail."
4655,October,03,1996,not c,Unknown,Unknown,Malu Aviation,No category,de Havilland Canada DHC-6 Twin Otter 200,No category,Congo,Unknown,21 ,6 ,0,Crashed on take off.
4656,October,06,1996,not c,Unknown,Unknown,Savanair,Air,Antonov 12B,No category,Angola,Unknown,19 ,6 ,0,While attempting to land the landing lights malfunctioned causing the cargo plane to veer off the runway and crash into a house.
4657,October,08,1996,not c,10,50,Aeroflot,No category,Antonov An-124,No category,Italy,"Moscow - Turin, Italy",23 ,2 ,2,"The cargo plane struck trees and a house while making a second attempt to land. Poor communication and lack of training for the crew. Poor planning approach, the decision to leave late in the second round. 
Structural deficiencies in engine control."
4658,October,13,1996,not c,14,55,Air Taxi - Seaside Air Service,Taxi,de Havilland DHC-2,No category,United States,Unknown,3 ,3 ,0,"The float plane crashed 55 minutes after departure into a 3,200 ft. mountain. Continued flight by the pilot into adverse weather condition, and his failure to maintain adequate altitude/clearance from mountainous terrain. Factors related to the accident were the high/mountainous terrain, and weather conditions that included low ceilings."
4659,October,20,1996,not c,12,12,Telford Aviation,No category,Piper PA-31-350 Navajo Chieftain,No category,Canada,"Port Meiner, Quebec - Bangor, Maine",8 ,8 ,0,"31-7952246The pilot reported that he had a rough running engine and was making an emergency landing at Charlo Airport. While maneuvering to land, he crashed 3 miles west of the runway. Loss of power from the right engine, and the pilot did not conserve altitude or configure the aircraft for maximum performance following the loss of power. Control of the aircraft was probably lost as the pilot was attempting to intercept the ILS for Runway 13 during a low-level turn. Contributing factors were the overweight condition of the aircraft and the lack of in-flight emergency procedures training received by the pilot."
4660,October,22,1996,not c,22,41,Million Air,Air,Boeing B-707-323C,Douglas,Ecuador,Manta - Miami,4 ,4 ,30,"The cargo plane, carrying flowers and frozen fish crashed into the Dolorosa district, bursting into flames shortly after taking off. One engine caught fire during the climb-out."
4661,October,26,1996,not c,20,45,Tyumen Aviatrans,No category,Yakovlev YAK-40,No category,Russia,Tyumen - Khanty,34 ,5 ,0,"In a heavy snowstorm, the aircraft landed short and right of the runway striking three Mil Mi-8 helicopters and bursting into flames."
4662,October,31,1996,not c,08,27,TAM (Brazil),No category,Fokker 100,No category,Brazil,Sao Paulo - Rio de Janiero,95 ,95 ,3,The aircraft crashed shortly after takeoff into a residential area striking a building. Uncommanded deployment of the thrust reverser on the right engine.
4663,November,01,1996,not c,08,10,Transported Areos Profesionales - TAPSA,Transport,Embraer 110P1 Bandeirante,No category,Guatemala,Guatemala City - Flores,16 ,16 ,0,"The plane crashed into a mountain 1 hour after take off, at an altitude of 900 ft., in strong winds, while on approach to Santa Elena."
4664,November,07,1996,not c,09,29,Jetcom S.A.,No category,Cessna 421C Golden Eagle,No category,France,Geneva - Bordeaux,8 ,8 ,0,"The pilot reported that an engine failed just as he started to descend for a landing. He later informed ATC he could not feather the propeller. The  aircraft subsequently crashed and burned in a field.  The accident was due to inappropriate management of the flight following jamming of the propeller in an intermediate position after the right engine crankshaft ruptured. The inappropriate management was due to the pilot’s relative lack of experience on this aircraft type, his false notions about the aircraft’s performance and about the existence of a flight level to maintain level flight with an unfeathered propeller and an heavy aircraft and a series of misjudged strategies to attempt to continue the flight then to land at Limoges when the aircraft’s altitude no longer made this possible."
4665,November,07,1996,not c,17,00,Aviation Development Corporation,No category,Boeing B-727-231,Douglas,Nigeria,Port Harcourt - Lagos,143 ,143 ,0,The plane crashed mid-way along its scheduled 50 minute route. The aircraft went into a roll and lost control after taking evasive action to avoid another aircraft. The plane was flying almost at the speed of sound when it crashed and disintegrated. ATC error. The controller thought he had cleared to aircraft to FL100 but the aircraft was still flying at FL240.
4666,November,12,1996,not c,18,40,Saudi Arabian Airlines / Kazakhstan Airlines,Air,Boeing B-747-168B / Ilyushin IL-76TD,Douglas,India,New Delhi - Dhahran / Chimkent - New Delhi,349 ,349 ,0,"Midair collision 17 km W of New Delhi.  The Saudi 747 had just taken off from New Delhi airport ascending to 14,000 feet while the Il-76 was descending. Three hundred twelve aboard the B-747 and thirty-seven aboard the Il-76 were killed. The Il-76 descended below its assigned altitude. The death toll was reduced from 351 to 349 after Kazakstan Airlines reported 37 aboard rather than 39. Neither aircraft was equipped with an Airborne Collision Avoidance System. The 747 had taken off from Delhi and had been cleared to climb to FL140.  Meanwhile, the IL76, which was inbound to Delhi on the same airway, had been cleared to descend to FL150. However, due to a misunderstanding, the pilot and most of the cockpit crew of the IL76 believed the flight had been cleared to continue down to FL140. The Indian accident report attributed the failure of most of the IL76 crew to correctly understand the situation due to their lack of a working knowledge of English. Also contributing to the crew's decision to continue the descent below their clearance limit were poor cockpit resource management, a lack of leadership by the captain, a lack of co-ordination between the crew and a general casual attitude to the conduct of the flight."
4667,November,13,1996,not c,Unknown,Unknown,Kismayo Airlines,Air,Piper PA-31-350 Navajo,No category,Kenya,Unknown,8 ,8 ,0,Unknown
4668,November,14,1996,not c,13,02,Komi Avia,No category,Antonov AN-2,No category,Russia,Most Pyssa - Koslan,15 ,14 ,0,Lost altitude and crashed while en route in poor weather. Stall of the left wing due to icing.
4669,November,19,1996,not c,17,01,United Express  / Private,No category,Beechcraft 1900-C / Beech King Air A90,No category,United States,"Burlington, IA - Quincy, IA",14 ,14 ,0,"While landing on Runway 13 at Baldwin Field, the United Express collided with the King Air which was taking off on Runway 4. The collision took place where the two runways intersect. Both planes caught fire and rescuers were unable to open the door to the Beech 1900-C because of impact damage. All twelve aboard the United Express and the two pilots aboard the King Air were killed. King Air pilots' failure to use proper communications and ""see-and-avoid"" procedures at an uncontrolled airport. Involvement of a third aircraft that transmitted unnecessary and inappropriate messages."
4670,November,22,1996,not c,19,30,Military - U.S. Air Force,Military,Lockheed HC-130P Hercules,Cessna,CA,"San Diego, CA - Portland, OR",11 ,10 ,0,"Crashed 60 miles west of Cape Mendocino in the Pacific Ocean. The crew reported losing an engine, followed by complete electrical failure."
4671,November,23,1996,not c,15,15,Ethiopian Airlines,Air,Boeing B-767-260ER,Douglas,Comoros,Addis Ababa - Nairobi,175 ,127 ,0,"The aircraft was hijacked shortly after taking off from Ethiopia by three drunken escaped prisoners. They demanded to be flown to Australia, but wouldn't let the pilot stop to refuel. The plane eventually ran out of fuel and ditched 500 feet offshore of Le Galawa Beach on the island of Grand Comoros. When it was aparent the plane was out of fuel, the hijackers fought the pilot for control of the aircraft. In the last seconds aloft, the left wing tip struck the water and the plane crashed into the sea flipping at least once before breaking into several  parts. The water was shallow but many passengers had inflated their safety vests which prevented them from swimming out from under the cabin and they drowned."
4672,November,26,1996,not c,11,00,Arctic Transportation Services,Services,Cessna 208B Caravan I,No category,United States,Bethel - Kwigillingok,1 ,1 ,0,"Shortly after taking off the cargo plane turn back toward the airport, increased it's bank angle until the aircraft hit the ground. Failure of the pilot to maintain control of the airplane, while maneuvering to reverse direction after takeoff, after encountering an undetermined anomaly. The undetermined anomaly was a related factor."
4673,November,27,1996,not c,11,54,Military - Russian Air Force,Military,Ilyushin IL-76MD,No category,Russia,Abakan - Petropavlosk - Kamchatsky,23 ,23 ,0,The aircraft crashed shortly after takeoff. Overloaded.
4674,November,30,1996,not c,10,33,ACES Colombia,No category,de Havilland Canada DHC-6 Twin Otter 300,No category,Colombia,Medellin - Bahia Solano,15 ,14 ,0,The aircraft crashed into a mountain 5 minutes after takeoff. The plane stalled while trying to clear a mountain.  Overloaded.
4675,December,07,1996,not c,15,23,Dirgantara Air Services,Services,CASA 212 Aviocar 100,No category,Indonesia,Banjarmasin - Sampit,17 ,16 ,2,"After experiencing a No.2 engine fire and while attempting to return to the airport, the aircraft's wing struck a building short of the runway."
4676,December,09,1996,not c,18,03,Emery Worldwide,No category,Douglas C-47A,No category,United States,Boise - Salt Lake City,2 ,2 ,0,"Shortly after takeoff  the crew reported they had the right engine on fire. They attempted to return for an emergency landing but the cargo plane crashed right wing low, cartwheeled and burst into flames short of the runway. A fire within the right engine compartment of undetermined cause and the pilot-in-command's failure to maintain airspeed above the aircraft's minimum control speed. A factor contributing to the accident was the dark night environmental conditions"
4677,December,17,1996,not c,Unknown,Unknown,Military - Russian Air Force,Military,Antonov AN-12,No category,Russia,St. Petersburg - Krasnodar,18 ,18 ,0,Crashed 8km from the airfield after taking off in strong winds and heavy snow.
4678,December,21,1996,not c,22,32,SELVA,No category,Antonov An-32B,No category,Colombia,Bogota - Medellin,4 ,4 ,0,The cargo plane crashed short of the runway while attempting to land.
4679,December,22,1996,not c,18,10,Airborne Express,Air,McDonnell Douglas DC-8-63F,No category,United States,Test flight,6 ,6 ,0,"The cargo plane struck mountainous terrain after experiencing a stall during tests. The inappropriate control inputs applied by the flying pilot during a stall recovery attempt, the failure of the non-flying pilot-in-command to recognize, address and correct these inappropriate control inputs, and the failure of Airborne Express to establish a formal, functional evaluation flight program that included adequate program guidelines, requirements and pilot training for performance of these flights. Contributing to the cause of the accident were the inoperative stick shaker stall warning system and Airborne Express DC-8 flight training simulator's inadequate fidelity in reproducing the airplane's stall characteristics."
4680,December,24,1996,c,15,00,Military - Indian Air Force,Military,Hindustan Aeronautics 748-2,No category,India,Tanbaram AFB - Hyderabad,22 ,22 ,0,Crashed while en route after the pilot reported an engine fire. Undetected cracks in the engine not detected during routine maintenance.
4681,December,24,1996,not c,10,05,Aircraft Charter Group Inc,Air,Learjet 35A,No category,United States,"Bridgeport, CT - Lebanon, NH",2 ,2 ,0,"The cargo plane was on a positioning flight when it struck rising terrain while making an approach to land. The captain's failure to maintain situational awareness, which resulted in the airplane being outside the confines of the instrument approach; and the crew's misinterpretation of a step-down fix passage, which resulted in an early descent into rising terrain. Factors included the captain's misreading of the instrument approach procedure, the crew's rushed and incomplete instrument approach briefing, their failure to use additional, available navigational aids, and their failure to account for the winds at altitude."
4682,January,02,1997,not c,18,35,Tar Heel Aviation,No category,Cessna 208B Grand Caravan,No category,United States,Manteo - Edenton,2 ,2 ,0,"While on approach the plane struck power lines and came to rest in shallow water. The pilot's continued VFR flight into instrument meteorological conditions. Factors in this accident were; fog, the low ceiling, and the dark night."
4683,January,07,1997,not c,11,00,Polynesian Airlines,Air,de Havilland Canada DHC-6 Twin Otter 300,No category,Samoa,Pago Pago - FagaliI,5 ,3 ,0,Crashed onto a mountin in high winds and rain after being diverted from another airport.
4684,January,09,1997,not c,15,54,Comair,Air,Embraer 120RT Brasilia,No category,United States,Cincinnati - Detroit,29 ,29 ,0,"While on approach and attempting to land on runway 3R at Detroit Metropolitan Wayne County Airport, in a snowstorm, the aircraft went into a steep dive and crashed into a field. The accident was caused by the FAA's failure to establish adequate aircraft certification standards for flight in icing conditions.  Contributing to the accident were the flightcrew's decision to operate in icing conditions near the lower margin of the operating airspeed envelope (with flaps retracted), and Comair's failure to establish and adequately disseminate unambiguous minimum airspeed values for flap configurations and for flight in icing conditions. In addition, Embraer's manual for the aircraft specified correctly that the deicing boots should be activated as soon as icing occured.  But the pilots were trained by Comair's manual, which specified waiting until ice was about 1/2 inch thick."
4685,January,29,1997,not c,23,10,Southcentral Air,Air,de Havilland Canada DHC-4A Caribou,No category,United States,St. Marys - Kenai,2 ,1 ,0,"While en rote the plane experienced engine trouble. The crew decided to divert to Sparrevohn. While attempting to land the plane encountered strong turbulence from surrounding mountains. Although full power was applied to the good engine the plane crashed into terrain. Loss of the right engine propeller control oil, which led to an overspeed of the right engine and propeller, and necessitated a shut-down of the right engine; and failure of the pilot to maintain adequate altitude/distance from terrain during visual approach for a precautionary landing at an alternate airport. Factors relating to the accident were: fluctuation of the left engine power, premature lowering of the airplane flaps, and an encounter with adverse weather conditions (including high winds, severe turbulence, and white-out conditions) during the approach."
4686,January,31,1997,not c,Unknown,Unknown,Skypower Express Airways,Air,Embraer 110P1A Bandeirante,No category,Nigeria,Jos - Yola,16 ,5 ,0,After being in a holding pattern for over an hour the plane hit trees and a  power line and crashed 700m short of the runway.
4687,February,01,1997,not c,14,38,Air Senegal,Air,Hawker Siddeley HS-748-353 Srs.2a,No category,Senegal,Tambacounda - Dakar,52 ,25 ,0,The aircraft crashed shortly after taking off fromTambacoumba after losing power in the left engine. Fuel contamination.
4688,February,02,1997,not c,17,30,Force Area Populaire de Angola,Military,CASA 212 Aviocar 200,No category,Angola,Luanda - Cafunfo,37 ,37 ,0,The plane took off from Luanda bound for Cafunfo in northeastern Angola when it disappeared en route.  Witnesses later stated the plane appeared to be in trouble and flying at a low altitude before it crashed.
4689,February,04,1997,c,19,00,Military - Israel Air Force /Military -  Israel Air Force,Military,Sikorsky CH53D / Sikorsky CH53D,No category,Northern Israel,Unknown,73 ,73 ,0,The two military helicopters crashed into each other while taking off in darkness killing all aboard.
4690,February,14,1997,not c,12,34,Varig,No category,Boeing B-737-2C3,Douglas,Brazil,Maraba - Carajas,52 ,1 ,0,The aircraft touched down hard. The right main landing gear collapsed causing the plane to veer to the right and end up in a wooded area. The first officer was killed.
4691,February,19,1997,not c,03,06,Transpolar,No category,IAI 1124 Westwind,No category,Guatemala,"Lima, Peru - Guatemala City, Guatemala",5 ,5 ,0,Flew into a mountain while on approach.
4692,March,04,1997,not c,Unknown,Unknown,Air Georgian,Air,Cessna 208B Super Cargomaster,No category,Canada,Unknown,1 ,1 ,0,Slipped off the ice landing strip and flipped over.
4693,March,07,1997,not c,Unknown,Unknown,Air Pereira,Air,Cessna 500 Citation I,No category,Colombia,Unknown,4 ,4 ,0,Shortly after taking off the plane flew into a mountain and was destroyed.
4694,March,12,1997,not c,Unknown,Unknown,ALADA,No category,Antonov AN-12B,No category,Angola,Luanda - Lucapa,16 ,16 ,0,Crashed short of the runway in dense fog while attempting to land a second time at Lucapa.
4695,March,13,1997,not c,18,06,Military - Iranian Air Force,Military,Lockheed C-130HF,Cessna,Iran,Dezful - Mashhad,88 ,88 ,0,The plane was carrying military personnel and their families and crashed 24 miles NE of Mashhad in the Binalud Heights. The pilot reported engine failure prior the crash.
4696,March,18,1997,not c,10,04,Stavropol Airlines,Air,Antonov AN-24RV,No category,Russia,Stavropol - Trabzon,50 ,50 ,0,"The aircraft lost altitude from FL 197 and crashed into a forest while en route from Stavropol, Russia to Trabzon, Turkey. Reports indicated that an in-flight  fire and an explosion led to the separation of the tail section prior to the crash. Superficial mechanical inspection of the aircraft which was carried out without the use of monitoring instruments and subsequent unjustified decision to extend the time between overhauls.  Inadequate monitoring to determine the state of structural elements and detect the presence of corrosion in hard-to-reach areas under the floor of the fuselage. Failure to carry out prescribed anti-corrosion measures on the aircraft structure during overhaul."
4697,April,01,1997,not c,Unknown,Unknown,Military - U.S. Air Force,Military,Lockheed C-130H Hercules,Cessna,Honduras,Howard AFB - Tegucigalpa,10 ,3 ,0,"While landing the aircraft overran the runway, hit a concrete drainage ditch, when through a fence and came to rest on a highway where it caught fire."
4698,April,04,1997,not c,00,16,Custom Air Service,Services,Aviation Traders ATL-98 Carvair,No category,United States,Griffin - Americus,2 ,2 ,0,"On a positioning flight, while taking off the plane suffered engine failure, overran the runway and crashed into a vacant building."
4699,April,10,1997,not c,20,30,Hageland Aviation Services,Services,Cessna 208B Caravan I,No category,United States,Barrow - Wainwright,5 ,5 ,0,After making two approaches the pilot decided to head back to the departure airport. He flew north at an altitude beneath minimum radar coverage. The plane impacted the frozen Arctic Ocean in a right bank and at a 60 degree nose-down attitude. The pilot's intentional VFR flight into instrument meteorological conditions and his failure to maintain altitude and clearance from terrain. A contributing factor was the weather conditions.
4700,April,14,1997,not c,Unknown,Unknown,TAAG Angola Airlines,Air,Fokker F-27 Friendship 600,No category,Democratic Republic Congo,Brazzaville - Luanda,7 ,3 ,0,The cargo plane became airborne but soon lost altitude and crashed to the ground and burst into flames.
4701,April,15,1997,not c,Unknown,Unknown,Azerbaijan Airlines,Air,Yakovlev 40,No category,Azerbaijan,Training,6 ,6 ,0,"A stray bullet from training soldiers struck the landing plane, hitting an oxygen cylinder. A fire broke out and control of the plane was lost and it crashed."
4702,April,16,1997,not c,Unknown,Unknown,Military - Niger Air Force,Military,Lockheed C-130H Hercules,Cessna,Niger,Unknown,14 ,14 ,0,Crashed after an engine fire.
4703,April,19,1997,not c,07,39,Merpati Nusantara Airlines,Air,British Aerospace ATP,No category,Indonesia,Jakarta - Tanjung Pandan,53 ,15 ,0,"During the final stage of a visual approach, one of the aircraft's engines failed. The crew failed to correctly identify the problem and because of the flight regime, the propeller did not autofeather. The approach was continued, however, as the aircraft descended through about 2,000ft., power was applied at the start of a go-around. Control was lost and the aircraft crashed."
4704,April,23,1997,c,18,00,Military - Afghan Republican Air Force,Military,Antonov AN-26,No category,Afghanistan,Unknown,36 ,36 ,0,The transport crashed into a mountain.
4705,May,08,1997,not c,21,28,China Southern Airlines,Air,Boeing B-737-31B,Douglas,China,Chongqing - Shenzen,74 ,35 ,0,"The aircraft touched down hard, causing the nosegear to collapse. The pilot chose to to go-around. The aircraft climbed away but shortly after, the pilot declared an emergency and attempted to land on the runway in the opposite direction. The aircraft crashed on the runway, broke up and caught fire.The accident happened in poor weather with heavy rain associated with local thunderstorm activity."
4706,June,06,1997,not c,07,35,Bazair,Air,Vickers Viscount 781D,No category,Congo,Bunia - Kisangani,27 ,27 ,0,Crashed shortly after taking off. Fire in the cabin.
4707,June,10,1997,not c,Unknown,Unknown,MIAT - Mongolian Airlines,Air,Harbin Yunshuji Y-12 II,No category,Mongolia,Ulan Bator - Mandalgobi,12 ,7 ,0,The aircraft crashed while attemping to land. Windshear. Lack of windshear equipment at the airport.
4708,July,03,1997,not c,03,49,Elbee Airlines,Air,Fokker F-27 Friendship 200,No category,India,Mumbai - Banglaor,2 ,2 ,0,Shortly after taking off the cargo plane crashed into the ocean. The pilot lost control when he encountered severe weather conditions soon after taking off.
4709,July,05,1997,not c,Unknown,Unknown,Air Taxi,Taxi,de Havilland DHC-2,No category,United States,Sightseeing,5 ,4 ,0,"While en route, the aircraft lost engine power and the pilot tried to land in a small lake but stalled and crashed into marsh. A loss of engine power due to the fatigue failure of the no.1 exhaust push rod."
4710,July,06,1997,not c,Unknown,Unknown,Military - Colombian Army,Military,Mil Mi-17 (helicopter),No category,Colombia,Unknown,29 ,25 ,0,Shot down by rebels.
4711,July,09,1997,not c,09,30,TAM (Brazil),No category,Fokker 100,No category,Brazil,Sao Jose dos Campos - Congonhas,60 ,1 ,0,An explosion caused explosive decompression and a six-foot hole in the side of the fuselage. One passenger was sucked out and killed.  A small bomb containing only 7 ounces of explosives was placed under a passenger seat.  It is reported that the police believed the bomb was planted as part of a failed suicide attempt by one of the passengers.
4712,July,11,1997,not c,21,55,Cubana de Aviacion,No category,Antonov AN-24,No category,Cuba,Santiago de Cuba - Havana,44 ,44 ,0,The plane crashed into the ocean 4 miles off the coast shortly after takeoff. Possible failure of the left engine during takeoff.
4713,July,12,1997,not c,17,30,Haines Airways - Air Taxi,Taxi,Piper PA-32,No category,United States,"Haines, AK - Skagway, AK",6 ,4 ,0,"The sightseeing plane lost engine power and ditched in 39 degree water. Jamming/failure of the left magneto impulse coupling, which stopped rotation of the magneto gear, and resulted in subsequent shearing of the accessory intermediate idler gear."
4714,July,17,1997,not c,11,56,Sempati Air,Air,Fokker F-27 Friendship 600,No category,Indonesia,Bangdung - Jakarta,50 ,30 ,0,"The aircraft developed engine trouble (left engine caught on fire) shortly after taking off.  While attempting to make an emergency landing at Sulaiman AFB, the plane clipped roof tops of a housing project and crashed into a nearby field."
4715,July,18,1997,not c,10,32,Goroka Air Services,Services,de Havilland Canada DHC-6 Twin Otter 300,No category, New Guinea,Chimbu - Goroka,4 ,2 ,0,Crashed into Mt. Yasirua in poor weather. Navigational error. No published instrument flying procedures. No GPS used for primary navigation.
4716,July,21,1997,not c,13,08,Singapore Airlines,Air,Learjet 31,No category,Thailand,Phuket - Ranong,2 ,2 ,0,On a training flight the instructor misread the Ranong DME and causing the trainee pilot to descend below minimum altitude in poor weather conditions. The aircraft  flew into high terrain.
4717,July,29,1997,not c,Unknown,Unknown,ADC Airlines,Air,BAC One-Eleven 203AE,No category,Nigeria,Lagos - Calabar,55 ,1 ,0,Overshot the runway in heavy rain and came to rest in brush.
4718,July,30,1997,not c,10,30,Air Littoral,Air,Aerospatiale ATR-42-512,No category,Italy,Nice - Florence,17 ,1 ,0,"The aircraft touched down at excessive speed, far down the runway threshold, bounced twice and overran the runway."
4719,August,06,1997,not c,01,42,Korean Airlines,Air,Boeing B-747-300,Douglas,Guam,Seoul - Guam,254 ,228 ,0,"The aircraft crashed into Nimitz Hill, 3 miles short of Runway 06R, while making a non-precision approach in heavy rain to A.B. Won Guam International Airport. The runway glide slope system was inoperative. In addition, the Minimum Safe Altitude Warning system (MSAW) was also not working due to a software problem. The captain’s failure to adequately brief and execute the non-precision approach and the first officer's and flight engineer's failure to effectively monitor and cross-check the captain’s execution of the approach. Contributing to these failures were the captain's fatigue and Korean Air's  inadequate flight crew training. Contributing to the accident was the Federal Aviation Administration's (FAA) intentional inhibition of the MSAW at Guam and the agency's failure to adequately manage the system."
4720,August,07,1997,not c,12,36,Fine Air,Air,McDonnell Douglas DC-8-61F,No category,United States,Miami - Santo Domingo,4 ,4 ,0,"Immediately after taking off the plane went into a nose-high attitude, stalled and crashed to the ground. The probable cause of the accident, which resulted from the airplane being misloaded to produce a more aft center of gravity and a correspondingly incorrect stabilizer trim setting that precipitated an extreme pitch-up at rotation, was (1) the failure of Fine Air to exercise operational control over the cargo loading process and  (2) the failure of Aeromar to load the airplane as specified by Fine Air. Contributing to the accident was the failure of the FAA to adequately monitor Fine Airs operational control responsibilities for cargo loading and the failure of the FAA to ensure that known cargo-related deficiencies were corrected at Fine Air."
4721,August,10,1997,not c,08,15,Formosa Airlines,Air,Dornier DO-228-212,No category,Taiwan,Taipei - Matsu,16 ,16 ,0,The aircraft flew into a mountain and exploded in flames after a missed approach and while executing a go-around in rain and high winds. The pilot turned right instead of left when initiating the go-around.
